index,Follower,Target
12185298,46442,242547
40814655,216829,1025356
28123754,2343779,10650359
43209267,796663,72162
73356340,3098888,547572
66549038,1561805,1293434
1222650,618116,8776635
30410006,2297,195801
8385245,1048060,7043378
63568508,1282239,7471472
9500579,205178,218432
14487361,260213,176927
6273330,1769780,2005398
77902980,4499525,12890
23140764,5814088,8763524
36604770,2110425,3112845
8364373,557931,43507
50741486,55218,267760
71684394,2661597,396038
65480233,1499080,216481
70227958,2263562,7261900
29821163,962863,3118449
76913260,4196565,397157
13952787,3499279,1049631
42460698,6952,11176783
29943487,89068,4189365
6211640,148722,5951999
57447203,534179,1287330
35971236,516881,10961417
62404539,1114122,534
28206430,4672,4189824
10355659,23944,9801
37329999,55067,2655448
20655665,46697,10372292
30779298,2299658,6701511
82205978,6685033,194943
83156945,7125036,2323
46375079,1017038,676573
59177770,654070,227125
58345091,616981,616870
7195652,215462,1002118
74122478,3315918,2997194
63823427,1293566,16201
44307047,445062,432719
14950790,504747,8763526
4979782,283004,9259351
76843683,4194224,25659
4945373,1581947,119055
59965978,737157,206056
40125948,56382,2524530
73503368,3138508,897992
3434970,529772,1703707
31150638,28882,1552915
51091359,61075,379388
77096204,4230454,1342666
68097240,1844870,3493
57791387,562050,835237
67338742,1695526,404377
19435418,1704810,8777325
33283721,144903,106792
71415106,2572235,214487
14152381,245477,9937859
58564944,620628,6286
39633075,654945,1850132
64600371,1380415,105620
71695711,2661864,3026368
32378394,72413,263357
34553831,482012,8765259
23762612,10556059,124907
48272497,1341,444555
54261531,228262,11126
24168504,1302676,20933
27086648,217798,3279673
17855179,1209845,3418697
8329870,22106,1355007
34952814,22441,428702
75667368,3760553,7496
4766774,1294390,1674725
71794249,2686608,536390
47749315,445134,4521894
13803261,3483695,9111133
27672538,127578,629068
5039662,693331,2702152
79598566,5364219,13952
51899445,91479,196816
26667334,6286,648047
9658888,145199,192535
58296158,613766,290105
1324357,646600,4267263
55658095,308103,105897
51102171,61480,1175998
24224935,627824,265289
78773097,4868777,16270
4881793,244112,1573456
27744005,46381,3383912
74344584,3353989,3887
5265890,419304,723698
12146525,644498,579435
60061544,747165,495707
45620121,13952,4416521
58496213,619697,853421
32137872,534,1816424
46406823,619296,2905998
989752,536958,1551510
72691042,2955881,457239
84584581,8078234,2893062
33645480,354914,3452218
50033471,40646,2185556
34523869,149408,4647020
40420126,89404,11156211
84735267,8221400,1202400
47390149,4114793,1803020
22337349,33975,53874
6127042,994994,386425
28540718,33391,196151
60420117,851248,1629776
72617156,2912183,6623784
44614038,444736,4890593
5566845,853421,839767
49056606,13726,34404
29390190,1437055,269788
857530,442777,8765164
40216370,56003,4188171
42363226,1503153,1374318
77046779,4223140,3887
43080650,3487,626744
23258972,2945852,706345
19470055,4992000,6967329
12635562,869147,673657
38691218,132335,1194093
35519343,234135,8763523
7425661,1312329,8778368
70995175,2452421,25340
21921306,511291,8764640
27659923,1748358,56604
59795871,722677,2474515
18906731,411343,4657571
60078611,748666,91789
7684994,150373,9422862
42156751,16013,2771287
70944615,2437084,918039
48098915,1102166,6622575
7264537,2204515,2051023
64639827,1383148,620490
13422910,3098589,208394
55681509,322776,5994113
44771815,2392852,8573999
17709738,1338964,4386404
75938060,3919174,431785
579295,252710,645999
82472924,6758931,132335
58689096,626623,3001589
46274344,1505214,3085465
73355078,3098854,397157
59467459,673717,7292441
23030344,8079,5807633
65342162,1489345,847594
19270260,946793,4689051
2407393,187526,8778006
34088096,477832,4140418
48336813,2313,1112921
17888125,3307784,155851
54731537,255319,285421
54942492,265069,2339
71043779,2461219,3887
56135165,402399,14448
27869814,48234,6914359
34954778,486187,8765697
9028001,884806,9565433
41031882,47162,297146
38250448,2327,97735
76389121,4112459,52262
44677779,376413,619070
56247661,408485,5477297
5775196,198381,605256
29661800,134618,77561
21309756,51317,4389794
8658403,1129305,1201838
62896630,1181596,188311
66976395,1628489,47162
24857891,95018,47488
13206268,514868,3334615
15867126,1616198,979982
79529444,5334163,1548140
49205766,16156,432791
45211006,119439,47381
79790046,5460112,5459705
64275675,1335426,16201
85143843,8582139,46396
58308283,614377,44057
54684827,251565,560600
44965560,31355,2870980
79777435,5456528,374854
4927575,595497,91087
80720736,5892177,5892144
72166107,2810514,2311
81093532,6185187,5994113
81360433,6434202,5994113
29801165,284559,3349412
21875660,509553,1629776
55229006,274598,195146
8495539,197961,8775502
55620958,299750,443723
9560853,2642316,645614
80455156,5762217,3676358
79497640,5311025,1349110
13114288,1470069,9864148
5767024,1917596,8765260
48107423,462816,3280227
49757096,32240,219293
61601505,1011982,76652
65098294,1454374,22169
56065168,398064,444138
34603619,259564,8776339
30979739,7724,1298947
11820985,481610,2435366
51226199,66259,66007
27421642,220870,6789916
55237395,275947,101251
32768417,15322,9819691
3588642,14890,14658
55797810,375978,217195
24682113,45975,3634
67349941,1698630,1790262
52537277,119277,133331
58590691,620982,55124
16548842,48221,4408228
8850915,658724,32947
27557709,44064,900413
60275433,795321,25659
12707653,22967,6857365
36467290,503196,5433222
56016704,394627,130420
47519831,47350,7010
59781138,720817,71968
32385483,72413,1002654
29337518,117958,561477
24108831,1437533,5366406
9671962,79790,2661467
24909936,47575,8446
21210439,5523604,8642456
40495693,37562,5736985
80195330,5642782,2041453
69012387,1956897,3487
24570498,92922,382940
26713337,396038,4409986
83467107,7280842,4412210
43329631,16273,2493005
71835052,2698453,234702
19353134,4289617,13796
24233211,748198,3926723
7114651,1837990,401817
83913889,7628259,7627002
54799308,258815,1374421
20794778,5408627,8765342
74838341,3414142,3413465
50100042,43371,5994113
10673469,2837505,86113
34804902,86076,1589725
26163597,44057,6690862
62002808,1055598,620719
27584852,44064,1581114
52440777,115602,16201
67780556,1778540,68680
14513466,3591638,2041453
76854728,4194602,2297
957977,149536,294363
19426270,4988546,8762962
32024017,253421,3577059
42698886,4018,6555558
38887142,105620,2387296
27831297,48234,1922849
56751512,442951,86795
31629411,444716,2771317
41074890,47162,639263
56299180,412456,1424
53476584,195973,284559
9616278,2654866,4247458
27326072,16242,5541892
29603766,3417,5834278
71779466,2681599,256003
41904338,107037,7289122
32395007,72413,5516398
81986484,6613106,145038
21765910,5587377,5828116
55417986,290137,47164
44648066,454218,263158
50963749,56715,720484
16907797,3905230,4023297
4032996,848020,135900
25571014,1753244,216952
57156502,457248,263530
59266358,656386,195923
28026408,16201,242068
78346380,4684235,4684163
12192407,422116,918450
13082865,101697,262639
29273453,3378867,3292918
9120237,1552748,4823876
19737190,606204,8906984
9243752,62378,1745272
37060196,2472449,443845
139229,60865,744123
21163878,1900230,8079848
52815124,134437,86403
4940707,59867,15346
24302932,154292,1743361
65219182,1470925,217798
76314623,4094747,3424574
63868345,1297527,415856
77325123,4330579,4176848
14483794,62376,9966141
63573778,1283060,428021
12713144,57140,9835667
3798507,823720,8764804
11505166,148851,9750910
81099437,6190525,5994113
59686,34492,35035
20460026,5380793,628277
61489329,998014,47350
40998990,56591,8342102
31686269,111800,3214434
30523257,2311,2782947
74938670,3445112,45484
30830961,1864381,5978958
13408119,3358743,3358791
23828652,731415,883533
1668030,283168,8963834
46468834,16431,2377061
31095315,628402,61800
8256490,853236,8765698
8144067,2360911,8767728
8699598,43397,19720
1989651,501264,3403362
25503401,47344,4413693
2265552,150783,605437
63869721,1297641,2941187
25665627,68680,4106725
32061753,620714,25776
62447803,1127082,8121005
83882689,7602839,2476620
72835193,2994513,876747
1272778,634600,1144051
74959837,3456466,5542740
38806613,92861,3492544
68744844,1907648,3365969
2500639,636480,429229
24820064,1548140,1587807
16318848,3188990,237962
73361024,3099116,618671
52582549,120623,873060
58266934,610278,715824
50917412,56396,663941
22003815,513652,564
63958189,1308141,3364
84331696,7898883,97219
80586605,5831416,2667523
20753324,1133319,2247906
38424380,48050,1529049
79751814,5438125,5421029
651532,288601,2778492
27118015,217798,1027243
75515860,3658796,6645991
75571999,3687442,7496
54797029,258772,3625587
21695703,506438,53281
70564990,2332208,619898
59863780,728991,1983891
17326101,334796,553213
19496331,486229,76916
12641663,869458,3279116
72812959,2986528,12890
10309884,150318,4566830
68359274,1850064,3364
76102662,3998880,133331
20437573,504605,2168783
8458639,2346886,1558376
58722223,627583,629661
52767957,133036,74279
4298687,796376,4409625
19139254,4177793,4669942
2702404,240893,8809837
4301805,61616,6469
36693202,5898464,9070107
8717594,139435,9033810
56942076,446071,119439
32975409,1322146,978667
46335282,56669,649591
32797069,15322,7107641
57642357,550867,117829
11971167,2689621,9455952
37801767,2340690,10391247
58217917,604680,46115
19998857,188193,96803
30930222,195983,2062657
13413847,6231,69014
52173443,100226,68680
67626869,1751569,20432
9434904,847907,8934500
51957226,92065,33975
32144898,534,15597
63111570,1209070,56668
73732425,3212169,2323
64204464,1326667,868693
4159610,644394,2518
6365810,1343946,9007709
54232044,227127,188559
51332433,69916,599934
7867726,192483,8771050
32991100,235028,629880
3134866,1301175,9103267
63919497,1303947,119477
62719284,1165764,54006
27086060,217798,567390
66763381,1586929,48017
84688211,8175510,8121005
75818390,3883162,3883143
82173884,6661180,6645991
63832278,1293895,71555
1370747,656525,13837
50338100,47293,147506
75112506,3504233,38436
11957198,7637,2794532
72465762,2884540,46115
49383275,18793,1032024
20394954,58994,10356501
50970865,56756,55402
15046143,3939996,8103753
35829529,495567,1000041
41445814,429226,234774
63588875,1285706,108639
52519586,118497,68680
24742743,10183,10594730
23727043,469036,8764421
6179176,474207,1018575
57042533,450661,3276379
66059778,1512433,1291739
24195413,3231571,10565237
50304135,46816,66333
82191455,6674581,6645991
62715088,1165303,71863
60591501,898638,940024
60893659,933247,1581161
45532069,2323,629091
69510144,2082232,748046
84869286,8332248,3364
66840501,1600813,715824
40832440,619144,196459
6659071,845275,2086332
78316547,4675557,53468
72390994,2872131,194582
83909295,7624289,7623415
70006060,2201490,440148
40265464,194943,3279622
63427624,1238112,95627
2876794,386883,9083738
67857411,1791743,430043
59969973,737486,1762150
17611166,4585068,8433436
42320899,195998,11175416
33337339,471043,85407
24267555,154292,2185649
82546157,6786304,1450
52218727,102371,2646832
42798502,55567,402476
44783262,91789,5963439
17697827,4391933,25442
36663319,578180,1516109
30352757,3357763,9380177
43463271,118242,72262
74065782,3296380,195220
1824375,864976,427258
59982036,738790,1119434
64874363,1434289,1434279
3932908,483408,6823375
35157885,623979,9341025
83058232,7073264,3323150
22834244,1045253,10498935
63643872,1288648,636513
16498934,455843,551106
16773297,1103049,4501251
19742879,5030695,5030716
1625417,26043,251967
25938464,4647031,8765336
75774717,3848399,476778
49055129,13707,2404105
76477263,4137413,54988
2972852,1232416,1232611
62817355,1172392,11126
78024025,4554587,933925
19434174,3503213,1355482
39904233,234702,2472410
75103815,3502105,16203
76214859,4047450,5994113
40752403,619096,578728
62794088,1171924,33391
543496,235950,8765336
12941752,887504,1332796
10439756,115295,9639787
84630014,8119073,7676279
36043048,2895537,1470758
31619414,1852310,47337
30323051,81868,5720995
55062423,268028,4343637
83782303,7522875,2518334
7276358,1963859,9087518
59672506,690048,114768
43579734,71968,374876
2106419,644677,9007769
2020438,876930,4078519
53439976,195669,1910968
66408345,1541719,1113959
62900317,1182174,175567
16396420,481364,8762941
81485262,6523629,1171734
30287184,81868,3901444
83886541,7606072,7289268
23826252,4727547,4727556
19168231,2817856,10278090
64516581,1367725,59072
13242078,1343224,2440639
49586739,26000,25878
80251839,5682880,1953698
69292204,2032987,40169
79782363,5457856,374854
11824980,6488,387763
27812803,48234,2903892
67656988,1756511,443998
49066305,13795,269842
76179447,4029883,7833049
85210920,8645300,981983
55087976,268514,48915
47202851,54545,71652
56448218,428113,1142048
9506186,254009,12673
67925378,1811393,792378
48451959,3623,481252
80027708,5538844,593685
80484700,5778094,39146
63356251,1231572,1874448
42819437,55567,8408588
20925673,367673,2702152
24455334,18515,6570858
59192964,654437,396038
24312859,154292,10582085
9301951,220634,79578
77672337,4415324,447806
2155680,1015686,8913532
5074530,15291,1537563
7749849,152041,2148244
47906559,258589,56793
58162749,603507,7034
70976827,2446472,3911247
18949081,458578,8763539
73505436,3139558,897992
83668746,7432951,474213
53835490,216365,196114
26264420,44072,2169239
11407208,502757,1578457
17792393,4704096,4025083
51132253,62703,5956100
71280234,2520348,692328
69850147,2156758,599191
77217764,4277230,387021
8160824,133832,936194
83141290,7117036,11126
81942947,6602461,216481
82424416,6743534,285421
40550190,618837,1094488
25053628,259580,4686561
74433037,3368600,72280
32386121,72413,6711801
58315043,614692,802821
64023046,1313966,228263
46093077,1553004,4399364
72524881,2895837,692848
13107518,511301,565709
45869242,169514,557396
66485202,1553089,194930
36421731,2136,10983648
30933433,3167309,8475678
13987367,225242,264980
37713500,4503654,949915
39424832,1368835,11144979
21496283,5565297,8766442
53980667,217943,604602
65974579,1510313,195786
60515566,891504,150876
42948908,16070,201888
16598639,2325187,3374043
34750960,484243,8764398
2621391,1141812,1025117
29991435,1532590,9911
57463896,535162,48915
12308374,696174,1967416
3123990,34819,1279396
54526190,242182,934812
73156183,3073930,18115
35735028,494389,6510682
61066446,942729,33391
54155942,223508,68551
6117452,877113,3421141
32287966,620812,45560
6399662,2049725,557396
76755898,4191303,25442
56711137,440394,398124
73919656,3259014,4177526
23109527,116993,700058
15095508,1346940,10012674
15036813,507180,1931522
83717250,7469800,56382
71325282,2531693,502164
82023453,6618287,6708295
45102822,54476,8463759
33305293,145129,10828594
53625465,201277,23625
24467075,18515,1292803
35139349,391575,10916038
22683659,1806481,5664364
13792541,3482516,194575
23317902,519130,10528734
17935815,2242351,185379
37788999,103390,196067
47261780,1449487,1516870
38522944,195362,2884229
752877,391624,8783774
20587991,509508,8765497
56459620,429081,32171
29786552,2280606,2517017
73467571,3126380,2311
48985244,12854,264911
75146297,3513368,3903862
22599876,3610755,8654297
60995203,935887,107037
67281455,1683407,195146
3154346,494487,620989
66489688,1553198,7292076
77169041,4248938,444452
48692705,8033,5322
73780177,3224154,4018
78071986,4575591,15711
15129438,23105,8765062
69700722,2121270,689798
68218607,1847601,1851759
75211918,3543245,245477
4071647,7051,243344
18954827,4947923,409050
83466618,7280637,186361
24175909,599762,6534634
71718467,2662519,196241
62253515,1086573,37562
83953740,7642277,7637564
30370365,433128,92186
57848904,566000,37562
34891125,485605,9766650
38423863,48050,269793
4643701,463899,8796033
79024169,4976302,2340
45086961,54476,620163
75907448,3910590,3487867
20214776,3585410,6957
71248201,2514539,16273
22273819,33975,4110649
36756598,1030196,1313705
38866735,105620,1631655
71609185,2645857,7790603
81014967,6112455,5994113
47732342,2486154,11296337
70675021,2357318,4220650
84153397,7760087,5715445
62597624,1151566,534
39125652,1313572,4220914
69351777,2049756,96853
17157352,735371,4938451
26256145,44072,220838
5524402,1840805,5863641
25902129,68961,397351
32243876,386085,1314136
52389381,113290,19940
22234681,2070276,93020
13372517,385367,9880317
33285608,144907,299184
3095521,923779,8764444
27254469,1450,3853705
35622328,493080,8765685
58972137,636751,54545
83446091,7268374,4163406
29603827,3417,268592
65380692,1495365,1685095
6879178,411560,8549088
29114735,86554,992334
3193084,22756,2923324
29586539,3417,1947844
34890506,743338,8763415
79654996,5389718,406190
15647558,4171114,293706
17994285,1760668,244768
72897841,3009577,53468
53133746,160791,252731
24206957,1443003,1013905
26441622,397157,16438
69432501,2065858,645154
45992089,432929,4451871
24796578,15656,3031270
5500588,8618,9300784
31024041,3428159,5875575
84807552,8282032,83950
7440608,2252339,8765363
10755773,484874,8820784
30576473,11126,6962
61881572,1042552,37562
60190191,784627,115446
37229769,1338471,427707
59400940,669810,208407
10947476,1280222,3309502
8419817,491618,1987599
48466319,3679,1881675
48529700,5072,9164
26370716,1424,1525410
32647186,1342831,6756095
59168339,653865,91789
13105892,700100,8767421
32633925,1073343,621208
65169200,1459752,274438
64834721,1428922,196241
7621349,63237,8034108
74968893,3460367,45484
2783698,695350,4584945
51170598,64591,1322407
69283517,2030497,45957
63443174,1239468,456274
32146759,534,1301511
55167876,269876,269788
28523823,33391,107947
7783650,70253,9475823
40293351,194943,1006214
51590409,78386,684430
54741837,256630,60933
23653330,1920972,9594096
35358230,856092,8765293
56446467,428062,25659
33077333,7303634,662703
23953005,5986015,38236
43520780,47869,445793
34523121,149408,207560
64090623,1315180,11126
2273488,150977,8241351
62739743,1167547,33970
33201709,1893300,9022055
17030168,1109811,8764409
76056535,3981686,86612
55257460,281543,319750
62678070,1160934,153474
43128574,13889,1848529
57402797,527553,3895838
809545,63201,37267
57621656,549036,63479
17996593,4334404,8764578
61244570,962316,512141
63982372,1311456,3887
9753434,1388973,5879522
29705950,53881,1161894
74278702,3349202,256955
57950992,579586,22527
72295128,2846593,485105
44317793,445062,545499
4676993,505093,5355905
69886745,2168541,23271
33891858,1078752,1296358
12237002,4668,9454398
16127825,884895,4241033
79716944,5417815,195362
13156884,717948,3231433
62737203,1167330,196114
37383311,107006,2863961
39048361,387517,6748848
44135679,619898,11203791
15493466,675911,2423967
35886416,3368819,2524864
81615056,6535692,3487425
3938961,151713,46253
65877028,1508172,89404
5578217,489560,2343741
7098587,140506,947222
71497498,2611738,228263
17675601,2206741,4670538
71910044,2717809,741304
36158786,499477,19249
78406813,4699879,7480981
47202205,934852,3065870
12592899,1028002,9827031
72376232,2871776,16242
36013096,40169,3542355
51691212,82837,4044465
78651330,4823563,5662790
37898435,195786,11070066
71196399,2498690,2786530
71163506,2487725,96328
37380477,638271,1014220
34861654,847354,8763387
9568291,488280,1462053
38240780,18097,946815
15869,3682,10111
80407585,5738822,288074
7318670,668501,8881042
56541035,432761,1851986
19386220,824313,1722295
60345516,818942,797152
48064978,154633,1360405
16903427,1106093,8762956
34965082,260663,207168
19996338,3309753,3309375
65998839,1510861,1205244
13778694,419276,9009301
6325127,45957,2026455
19314460,4211936,549275
45920854,1162675,569606
53086416,155639,1449487
47867925,451391,547208
75626944,3727230,7496
71708515,2662214,186361
76937132,4197370,447806
62982134,1195627,362247
23038392,8079,20002
70172291,2252509,4704309
37655297,6630598,9240059
47108578,54988,55021
56586386,433107,1504018
72335239,2864785,269788
51426365,71882,25442
35571729,1115553,8763383
62703513,1163327,658079
918499,54603,8883534
47270942,5479602,96451
48269946,1321,97173
45165897,58200,269309
56190738,405641,1504018
80176184,5627171,2778492
26581351,59072,4211
52105972,97667,947057
39463047,443971,216565
9793809,69372,1202579
44572588,1490653,991900
41970914,6716031,3488201
53319333,194421,1207665
18954730,3983837,4947876
71854403,2704340,128627
82884672,6941157,71968
66932884,1617013,3496608
14491401,517114,107264
59903432,732303,1315278
52627793,123869,3428159
2072773,148265,8765676
61318795,976467,933615
26375204,1424,4637148
43117944,13889,5890389
62589090,1150582,682095
64958828,1443513,216829
6997966,133839,58518
32609329,620530,7394399
45556083,2323,1291641
28323297,91829,5789263
35785675,859665,35754
57361484,523192,1972870
14362146,513379,3458261
77407495,4378531,1020167
79866552,5477978,121193
43880931,32171,2672407
31275186,16147,6602473
11817072,963400,8763521
70184218,2254287,1223264
41716613,262837,6557767
31964856,3887,1850213
64501830,1365898,2041453
74694497,3389496,3402
10063638,253507,637798
62955939,1191844,11749
4325034,1569210,9206470
12277257,248451,548563
42089093,18115,1517427
62396938,1112046,37416
40406230,1376303,411391
70295593,2281426,58200
26936983,53468,4192190
3974170,81566,12482
4950532,39000,1722468
82566740,6792038,16031
42777608,55567,5589455
32924108,213358,2661794
9862190,162994,69016
43362718,6618394,6701703
56836147,444163,1515123
3535874,149505,605402
50003014,39215,533464
22056894,515358,3458261
57738314,558485,55716
74313732,3352937,444063
24084078,44098,5560365
18847392,4890868,1544981
29903855,89068,7044397
78897505,4920819,96853
77281816,4314032,94160
39002082,2247775,194828
65150648,1458218,843127
37027120,5045747,781009
20542609,4009927,10364326
52446308,116048,451939
55436861,291329,1876157
79590391,5360639,456022
21161199,970935,10398792
76824883,4193609,444716
381349,193714,3057786
19986842,2490984,9472224
26802794,1382473,1007628
15340470,3650946,8769329
83714833,7467705,489029
54904519,263453,56591
8130572,1112975,1440783
76632642,4183718,15163
18849109,1026026,56352
4028224,45286,1590903
83046937,7068686,16270
26134594,55511,106502
32509538,1165657,221027
68203353,1847108,56668
58910759,630490,407048
5058853,837727,3065592
38478621,40415,5415103
71705574,2662147,47791
69348724,2048651,456022
61798353,1029409,565372
68262088,1848354,132335
10435238,60902,444298
1198510,153668,7012
49092663,14160,4652
72440657,2883670,264911
74352303,3354261,132335
45510915,1288056,619159
16970840,1091478,8781454
65638328,1502728,195220
81249540,6329239,5994113
72947774,3023015,150073
28788012,117829,4412475
13465393,17389,1846983
4636129,224061,668051
68311981,1849204,54889
60048245,745694,1597301
8387636,2399647,8764433
5046754,250883,8952129
6849740,2112340,38253
8757459,870250,720928
39652857,547572,2905415
30902889,626186,1017053
7981020,694553,8776158
8784748,498944,244768
44526032,54262,550691
4776031,502746,2343741
22430504,5747087,8733084
37453325,7912,97292
80455069,5762187,3596024
68197416,1847002,1503968
9353110,2614461,8776607
55848248,380400,693373
11961816,845634,106363
31310315,679806,27118
15035787,886196,9395869
82309682,6713103,8453
10322500,150580,3288530
77971336,4525419,3002464
76178174,4028907,4027047
11690136,589986,784061
10301864,2790515,9661819
1363646,24501,654023
33603587,6603319,10842384
16379125,2941329,5355757
2624944,45031,1143623
55094084,268561,443746
57217159,472510,94160
50434038,48070,698271
78798623,4879951,3948694
64107109,1316715,65187
12277655,248451,3392986
56142725,402868,54889
68100517,1844976,1081226
21233161,5524842,8765164
23580466,263393,3920641
27023924,547132,432931
19262587,29386,13300
63993273,1313075,59072
46136119,11749,107123
64523942,1368604,444138
37021123,4713906,271144
67459824,1712538,396038
38810806,92861,47350
59935387,734321,245455
34067238,1108459,7437333
33919177,1107167,37047
53029058,153534,6656
55293450,284457,92173
29491873,91802,218051
75796197,3865872,7496
21300988,4794627,785935
30449597,1515222,1173315
25885389,68961,7104515
63037001,1201336,445062
21763946,508021,8765701
84400720,7943559,4248292
84818222,8291596,7135508
79546590,5336227,194900
79875190,5478725,196241
25304836,444138,2069720
39867177,234702,6628001
6255448,1990137,4014108
39172662,934004,405412
14290565,113268,533386
30354258,3144495,4196097
44178812,622760,1192353
33452763,146198,440710
27559466,44064,563749
2240836,830962,8764435
13296836,1744254,9004528
30797056,3441,1055958
75306047,3576082,2940212
79016748,4973207,410873
25626703,291175,1291050
69741230,2129533,55511
26513558,18732,1568120
29919341,89068,449017
41896923,107037,914781
